Id;Created-At;Text
1,59E+18;28/10/2022;"@Badboy06864860 @TMCPoldaMetro @jokowi @ListyoSigitP @DPR_RI @mohmahfudmd @detikcom @kompascom @KodamJayakarta @Puspen_TNI @tempodotco Mentang mentang punya pangkat ko sombong 
PECAT SAJA???"
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 09.05 Polri Sat Lantas Jakarta Timur dalam rangka Jum'at Barokah, membagikan paket sembako kepada masyarakat di Pos Teta…
1,59E+18;28/10/2022;09.52 Polri Sat Lantas Jakpus melakukan pengaturan dan pengamanan aksi penyampaian pendapat di depan Kedubes Jepang Jakarta Pusat. @TMCPoldaMetro https://t.co/V9PIQIoojn
1,59E+18;28/10/2022;09.52 Polri Sat Lantas Jakpus melakukan pengaturan dan pengamanan aksi penyampaian pendapat di depan Kedubes Jepang Jakarta Pusat https://t.co/2YB3y9slGf
1,59E+18;28/10/2022;Diimbau bagi pesepeda untuk bersepeda sesuai dengan jalur yang sudah disediakan. https://t.co/Tv32mLKQqm
1,59E+18;28/10/2022;RT @miyarsa: @bovaxsholeh @BisKota_ @YoGojekYo @ahmadsahroni88 @TMCPoldaMetro @PolsekKemayoran Pantesan beberapa bulan lalu naik gojek dari…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;#Jakarta #DKIJakarta @JakartaIDNews @SonoraFM92: '09.52 Polri Sat Lantas Jakpus melakukan pengaturan dan pengamanan aksi penyampaian pendapat di depan Kedubes Jepang Jakarta Pusat. @TMCPoldaMetro ' https://t.co/OgLqaczboF, see more https://t.co/h97n18Prav
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;10.33 Situasi arus lalu lintas Traffic Light Fatmawati Jakarta Selatan terpantau lancar https://t.co/PCcubJUGpp
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;Ini ni yg rame rame ribut di seberang kantor gue https://t.co/3AdhjIxIS1
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;"11.25 #LalinSonora

Persiapan UNRAS,
Jl. Merdeka Barat sudah DITUTUP. @TMCPoldaMetro https://t.co/z8v0fosKOB"
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;11.16 Polri Sat Lantas Jaksel melakukan pengaturan dan pengamanan aksi penyampaian pendapat di Kementrian Kesehatan Kuningan Jakarta Selatan. @TMCPoldaMetro https://t.co/SnLThCDQJd
1,59E+18;28/10/2022;11.16 Polri Sat Lantas Jaksel melakukan pengaturan dan pengamanan aksi penyampaian pendapat di Kementrian Kesehatan Kuningan Jakarta Selatan https://t.co/2NkOTADOvr
1,59E+18;28/10/2022;@TMCPoldaMetro Tadi banget ini di bulevard summarecon bekasi, jelas² udh ada jalurnya tapi dengan PDnya di luar jalur udah tau pagi² ngebutnya pada ngga kira². Nanti giliran ketabrak ga mau disalahin, paling galak jelas² dia yg salah ga di jalurnnya heran
